upstream,downstream
52468,263852
52468,264621
52468,264696
52468,265319
52468,265650
52468,265797
52468,265861
52468,266686
52468,266828
52468,266858
52468,267761
52468,269729
52468,269737
52468,269830
52468,269884
52468,269934
52468,269976
52468,269989
52468,270088
52468,271357
52468,271781
52468,271851
52468,272000
52468,272037
52468,272818
52468,272929
52468,273022
52468,273145
52468,273218
52468,273238
52468,395715
52531,61839
54004,836
54004,10985
54004,11243
54004,17278
54004,18794
54004,22249
54004,22345
54004,22405
54004,26707
54004,27519
54004,30416
54004,30527
54004,33381
54004,36399
54004,46104
54004,46351
54004,54323
54004,63378
54301,10388
54874,970
55002,5411
55002,6951
55002,10390
55002,11121
55002,13450
55002,14021
55002,16072
55002,21474
55002,30037
55002,34699
55002,35006
55002,41461
55002,41751
55002,43534
55002,44138
55002,46830
55002,61999
55002,196990
55002,198573
55002,395143
55002,396367
55002,398144
55330,45178
55410,138238
55685,24519
55685,63506
55685,136827
55685,137359
55685,138072
55685,139973
55685,149697
55685,149917
55685,152076
55811,139002
57344,202463
58470,45669
58717,59340
58717,131242
58717,131247
58717,131340
58717,131686
58717,132290
58717,132294
58717,133770
58717,133945
59605,42961
60068,43233
60068,62651
60068,64271
60068,131477
60068,133944
60068,134492
60068,149428
60068,197946
60068,198825
60068,202496
60068,206092
60068,206150
60068,210030
60068,212144
60068,216213
60068,265517
60587,13026
60587,42539
60587,44363
60587,50657
60587,50718
60587,50719
60587,50721
60587,62276
60587,203358
60587,204099
60587,207219
60587,207528
60587,207828
60587,210295
60725,45168
60793,8789
61010,51898
61010,61399
132528,38800
132779,1037
132779,59187
132779,133694
132779,135752
132779,135868
132779,136375
132779,137156
132779,140155
132779,141302
132779,141333
132779,142464
132779,149577
132779,150075
132779,152510
133296,137681
134090,7647
134090,59256
134090,140728
134090,140933
134090,147000
135409,10025
135409,141764
136557,142116
136557,142275
137409,152699
137409,394489
138466,7716
138466,135106
138466,140505
138572,10023
196925,39232
197071,34933
197071,59752
199414,216249
199578,9020
199599,8515
199599,13165
199599,35178
199599,42972
199599,47125
199599,56351
199599,56842
199599,60944
199599,202009
199599,211247
201706,35083
202766,201234
262206,17079
262206,27773
262476,269393
327708,327707
327903,36988
327903,328297
328605,328755
395368,11408
396926,10546
396926,25656
396926,395073
396926,398443
396926,398449
396926,398829
397720,6598
398465,9087
398465,211936
401307,393581
401307,399363
